,country,year,bank_account,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type,living_condition,head_of_household
6530,Rwanda,2016,No,Rural,Yes,3,65,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
6531,Rwanda,2016,No,Rural,No,6,48,Female,Spouse,Married,Primary education,Informally employed,Living together,No
6532,Rwanda,2016,No,Rural,Yes,4,43,Female,Spouse,Married,No formal education,Farming and Fishing,Living together,No
6533,Rwanda,2016,No,Rural,Yes,6,28,Female,Spouse,Married,Secondary education,Farming and Fishing,Living together,No
6534,Rwanda,2016,No,Rural,Yes,7,39,Female,Spouse,Married,Secondary education,Formally employed Government,Living together,No
6535,Rwanda,2016,No,Rural,Yes,4,35,Female,Spouse,Married,Primary education,Informally employed,Living together,No
6536,Rwanda,2016,Yes,Rural,Yes,5,33,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6537,Rwanda,2016,No,Rural,No,1,55,Female,Head of Household,Widowed,No formal education,Government Dependent,Widowed,Yes
6538,Rwanda,2016,No,Rural,Yes,4,28,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6539,Rwanda,2016,No,Rural,Yes,4,49,Female,Head of Household,Widowed,Vocational/Specialised training,Farming and Fishing,Widowed,Yes
6540,Rwanda,2016,No,Rural,Yes,4,27,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6541,Rwanda,2016,Yes,Urban,Yes,8,57,Female,Spouse,Married,Primary education,Remittance Dependent,Living together,No
6542,Rwanda,2016,Yes,Rural,Yes,5,31,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6543,Rwanda,2016,No,Urban,Yes,4,38,Female,Spouse,Married,Vocational/Specialised training,Remittance Dependent,Living together,No
6544,Rwanda,2016,No,Rural,Yes,4,21,Male,Child,Single,Primary education,Informally employed,Never Married,No
6545,Rwanda,2016,No,Rural,Yes,6,58,Male,Head of Household,Married,No formal education,Self employed,Living together,Yes
6546,Rwanda,2016,Yes,Urban,Yes,4,22,Female,Spouse,Married,No formal education,Informally employed,Living together,No
6547,Rwanda,2016,No,Rural,No,3,48,Female,Head of Household,Widowed,Primary education,Government Dependent,Widowed,Yes
6548,Rwanda,2016,No,Rural,Yes,4,62,Female,Spouse,Married,No formal education,Farming and Fishing,Living together,No
6549,Rwanda,2016,No,Rural,Yes,3,26,Female,Spouse,Married,Primary education,Self employed,Living together,No
6550,Rwanda,2016,No,Rural,Yes,4,28,Female,Spouse,Married,No formal education,Farming and Fishing,Living together,No
6551,Rwanda,2016,No,Rural,Yes,5,31,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6552,Rwanda,2016,No,Rural,Yes,6,20,Male,Child,Single,Vocational/Specialised training,Informally employed,Never Married,No
6553,Rwanda,2016,No,Urban,Yes,4,34,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
6554,Rwanda,2016,No,Rural,Yes,6,45,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6555,Rwanda,2016,Yes,Urban,Yes,2,40,Male,Head of Household,Single,Secondary education,Informally employed,Never Married,Yes
6556,Rwanda,2016,No,Rural,No,5,44,Female,Head of Household,Widowed,No formal education,Informally employed,Widowed,Yes
6557,Rwanda,2016,No,Rural,Yes,4,27,Female,Head of Household,Single,Primary education,Informally employed,Never Married,Yes
6558,Rwanda,2016,No,Rural,No,3,30,Female,Head of Household,Single,No formal education,Remittance Dependent,Never Married,Yes
6559,Rwanda,2016,No,Rural,Yes,3,24,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
6560,Rwanda,2016,No,Rural,Yes,8,55,Female,Head of Household,Divorced,No formal education,Other Income,Seperated,Yes
6561,Rwanda,2016,Yes,Urban,Yes,2,19,Male,Head of Household,Single,Secondary education,Self employed,Never Married,Yes
6562,Rwanda,2016,No,Rural,Yes,3,43,Female,Head of Household,Divorced,Primary education,Farming and Fishing,Seperated,Yes
6563,Rwanda,2016,Yes,Rural,Yes,6,68,Male,Head of Household,Married,Primary education,Self employed,Living together,Yes
6564,Rwanda,2016,No,Rural,Yes,7,47,Female,Spouse,Married,Secondary education,Farming and Fishing,Living together,No
6565,Rwanda,2016,Yes,Urban,Yes,4,36,Male,Head of Household,Married,Secondary education,Formally employed Government,Living together,Yes
6566,Rwanda,2016,No,Rural,Yes,6,67,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6567,Rwanda,2016,No,Rural,No,4,49,Female,Head of Household,Married,No formal education,Informally employed,Living together,Yes
6568,Rwanda,2016,No,Rural,No,3,87,Male,Head of Household,Married,No formal education,Remittance Dependent,Living together,Yes
6569,Rwanda,2016,No,Urban,Yes,2,73,Female,Head of Household,Widowed,No formal education,Self employed,Widowed,Yes
6570,Rwanda,2016,Yes,Rural,Yes,7,36,Female,Spouse,Married,Primary education,Informally employed,Living together,No
6571,Rwanda,2016,No,Rural,Yes,5,30,Female,Spouse,Married,No formal education,Farming and Fishing,Living together,No
6572,Rwanda,2016,No,Rural,Yes,4,19,Female,Child,Single,Secondary education,Farming and Fishing,Never Married,No
6573,Rwanda,2016,No,Rural,Yes,5,38,Female,Child,Divorced,Primary education,Informally employed,Seperated,No
6574,Rwanda,2016,No,Rural,Yes,4,31,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
6575,Rwanda,2016,No,Rural,Yes,4,35,Female,Head of Household,Divorced,Primary education,Informally employed,Seperated,Yes
6576,Rwanda,2016,No,Rural,Yes,6,37,Female,Spouse,Married,No formal education,Informally employed,Living together,No
6577,Rwanda,2016,No,Rural,Yes,2,45,Female,Head of Household,Divorced,Primary education,Informally employed,Seperated,Yes
6578,Rwanda,2016,No,Rural,No,3,21,Female,Child,Single,Primary education,Remittance Dependent,Never Married,No
6579,Rwanda,2016,No,Rural,Yes,2,32,Female,Head of Household,Divorced,Primary education,Farming and Fishing,Seperated,Yes
6580,Rwanda,2016,No,Rural,Yes,3,20,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6581,Rwanda,2016,No,Rural,Yes,3,27,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
6582,Rwanda,2016,No,Rural,Yes,4,18,Female,Child,Single,Primary education,Farming and Fishing,Never Married,No
6583,Rwanda,2016,No,Rural,Yes,5,32,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6584,Rwanda,2016,No,Rural,Yes,4,16,Female,Child,Single,Primary education,Remittance Dependent,Never Married,No
6585,Rwanda,2016,No,Rural,Yes,4,28,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6586,Rwanda,2016,No,Rural,Yes,4,31,Female,Spouse,Married,Secondary education,Farming and Fishing,Living together,No
6587,Rwanda,2016,No,Rural,Yes,6,19,Female,Child,Single,Secondary education,Remittance Dependent,Never Married,No
6588,Rwanda,2016,No,Rural,No,5,31,Female,Head of Household,Married,Primary education,Informally employed,Living together,Yes
6589,Rwanda,2016,No,Urban,Yes,4,30,Male,Head of Household,Married,Primary education,Other Income,Living together,Yes
6590,Rwanda,2016,No,Rural,Yes,3,23,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6591,Rwanda,2016,No,Rural,Yes,4,27,Female,Spouse,Married,Primary education,Informally employed,Living together,No
6592,Rwanda,2016,No,Rural,Yes,8,21,Female,Child,Single,Secondary education,Remittance Dependent,Never Married,No
6593,Rwanda,2016,No,Rural,Yes,9,19,Female,Child,Single,Secondary education,Remittance Dependent,Never Married,No
6594,Rwanda,2016,No,Rural,Yes,6,43,Female,Spouse,Married,Secondary education,Informally employed,Living together,No
6595,Rwanda,2016,No,Rural,Yes,2,20,Female,Parent,Single,Primary education,Farming and Fishing,Never Married,No
6596,Rwanda,2016,No,Rural,Yes,2,32,Female,Head of Household,Widowed,Primary education,Informally employed,Widowed,Yes
6597,Rwanda,2016,No,Rural,Yes,5,42,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6598,Rwanda,2016,No,Rural,Yes,4,27,Female,Child,Single,Primary education,Informally employed,Never Married,No
6599,Rwanda,2016,No,Rural,Yes,4,37,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6600,Rwanda,2016,No,Rural,Yes,2,69,Female,Spouse,Married,No formal education,Farming and Fishing,Living together,No
6601,Rwanda,2016,Yes,Rural,Yes,6,34,Male,Head of Household,Married,Primary education,Self employed,Living together,Yes
6602,Rwanda,2016,No,Rural,Yes,3,27,Male,Child,Single,Primary education,Informally employed,Never Married,No
6603,Rwanda,2016,No,Rural,Yes,2,65,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6604,Rwanda,2016,No,Rural,Yes,8,20,Male,Child,Single,Secondary education,Farming and Fishing,Never Married,No
6605,Rwanda,2016,No,Urban,Yes,5,31,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6606,Rwanda,2016,No,Rural,No,3,56,Male,Head of Household,Married,No formal education,Informally employed,Living together,Yes
6607,Rwanda,2016,No,Rural,Yes,5,32,Female,Spouse,Married,Primary education,Informally employed,Living together,No
6608,Rwanda,2016,No,Urban,Yes,10,28,Male,Child,Single,Secondary education,Remittance Dependent,Never Married,No
6609,Rwanda,2016,No,Rural,No,1,36,Male,Head of Household,Single,No formal education,Farming and Fishing,Never Married,Yes
6610,Rwanda,2016,No,Rural,Yes,7,18,Male,Child,Single,Primary education,Informally employed,Never Married,No
6611,Rwanda,2016,Yes,Rural,Yes,7,35,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6612,Rwanda,2016,No,Urban,Yes,2,35,Female,Head of Household,Divorced,Primary education,Self employed,Seperated,Yes
6613,Rwanda,2016,No,Rural,No,4,29,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6614,Rwanda,2016,No,Rural,Yes,4,18,Female,Parent,Single,Primary education,Self employed,Never Married,No
6615,Rwanda,2016,No,Rural,Yes,9,19,Male,Child,Single,Secondary education,Remittance Dependent,Never Married,No
6616,Rwanda,2016,No,Rural,Yes,5,55,Male,Head of Household,Married,No formal education,Self employed,Living together,Yes
6617,Rwanda,2016,No,Rural,No,4,48,Female,Head of Household,Widowed,No formal education,Informally employed,Widowed,Yes
6618,Rwanda,2016,Yes,Urban,Yes,1,29,Male,Head of Household,Single,Tertiary education,Remittance Dependent,Never Married,Yes
6619,Rwanda,2016,No,Rural,No,4,56,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6620,Rwanda,2016,No,Urban,Yes,3,25,Male,Other relative,Single,Secondary education,Remittance Dependent,Never Married,No
6621,Rwanda,2016,No,Rural,Yes,2,56,Female,Head of Household,Widowed,Primary education,Informally employed,Widowed,Yes
6622,Rwanda,2016,No,Rural,Yes,7,22,Male,Child,Single,Secondary education,Farming and Fishing,Never Married,No
6623,Rwanda,2016,No,Rural,Yes,4,67,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
6624,Rwanda,2016,No,Rural,Yes,5,31,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6625,Rwanda,2016,Yes,Urban,Yes,5,21,Female,Other non-relatives,Single,Tertiary education,Informally employed,Never Married,No
6626,Rwanda,2016,No,Rural,Yes,8,18,Male,Child,Single,Primary education,Informally employed,Never Married,No
6627,Rwanda,2016,Yes,Rural,Yes,5,37,Female,Spouse,Married,Secondary education,Remittance Dependent,Living together,No
6628,Rwanda,2016,No,Rural,No,11,21,Female,Child,Single,Vocational/Specialised training,Informally employed,Never Married,No
6629,Rwanda,2016,Yes,Rural,Yes,3,36,Male,Head of Household,Married,Tertiary education,Formally employed Government,Living together,Yes
6630,Rwanda,2016,No,Rural,Yes,4,37,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6631,Rwanda,2016,No,Rural,Yes,4,21,Male,Child,Single,Primary education,Farming and Fishing,Never Married,No
6632,Rwanda,2016,No,Rural,Yes,4,28,Female,Spouse,Married,Primary education,Informally employed,Living together,No
6633,Rwanda,2016,No,Rural,Yes,4,28,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6634,Rwanda,2016,No,Rural,Yes,4,30,Male,Head of Household,Married,No formal education,Informally employed,Living together,Yes
6635,Rwanda,2016,No,Rural,Yes,3,37,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
6636,Rwanda,2016,No,Rural,No,2,58,Male,Parent,Single,Primary education,Farming and Fishing,Never Married,No
6637,Rwanda,2016,No,Rural,Yes,1,63,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
6638,Rwanda,2016,No,Rural,Yes,3,68,Female,Head of Household,Widowed,Primary education,Remittance Dependent,Widowed,Yes
6639,Rwanda,2016,No,Rural,Yes,6,38,Female,Spouse,Married,Secondary education,Informally employed,Living together,No
6640,Rwanda,2016,No,Rural,No,5,50,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6641,Rwanda,2016,No,Rural,Yes,3,23,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
6642,Rwanda,2016,No,Rural,Yes,5,29,Female,Spouse,Married,Primary education,Government Dependent,Living together,No
6643,Rwanda,2016,No,Rural,Yes,3,20,Male,Child,Single,Primary education,Farming and Fishing,Never Married,No
6644,Rwanda,2016,No,Rural,No,2,71,Female,Head of Household,Widowed,Primary education,Farming and Fishing,Widowed,Yes
6645,Rwanda,2016,Yes,Urban,Yes,5,38,Female,Head of Household,Married,Secondary education,Remittance Dependent,Living together,Yes
6646,Rwanda,2016,No,Rural,Yes,6,52,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6647,Rwanda,2016,No,Rural,Yes,6,33,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6648,Rwanda,2016,No,Urban,Yes,3,30,Female,Spouse,Married,Secondary education,Formally employed Government,Living together,No
6649,Rwanda,2016,No,Rural,Yes,6,34,Female,Spouse,Married,No formal education,Farming and Fishing,Living together,No
6650,Rwanda,2016,No,Rural,Yes,1,79,Female,Head of Household,Divorced,No formal education,Farming and Fishing,Seperated,Yes
6651,Rwanda,2016,No,Rural,No,10,46,Female,Spouse,Married,Primary education,Informally employed,Living together,No
6652,Rwanda,2016,No,Rural,Yes,3,32,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6653,Rwanda,2016,No,Rural,Yes,6,38,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6654,Rwanda,2016,No,Rural,Yes,4,20,Female,Spouse,Married,No formal education,Informally employed,Living together,No
6655,Rwanda,2016,No,Rural,Yes,3,54,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
6656,Rwanda,2016,Yes,Rural,Yes,4,32,Male,Head of Household,Married,Secondary education,Informally employed,Living together,Yes
6657,Rwanda,2016,Yes,Rural,Yes,4,79,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
6658,Rwanda,2016,No,Rural,Yes,5,20,Male,Child,Single,Secondary education,Informally employed,Never Married,No
6659,Rwanda,2016,No,Rural,Yes,5,33,Female,Spouse,Married,Vocational/Specialised training,Farming and Fishing,Living together,No
6660,Rwanda,2016,No,Rural,Yes,3,21,Female,Spouse,Married,Primary education,Informally employed,Living together,No
6661,Rwanda,2016,No,Rural,No,2,73,Male,Head of Household,Married,No formal education,Informally employed,Living together,Yes
6662,Rwanda,2016,No,Rural,Yes,6,16,Male,Parent,Single,Primary education,Informally employed,Never Married,No
6663,Rwanda,2016,No,Rural,No,4,22,Female,Child,Divorced,Primary education,Informally employed,Seperated,No
6664,Rwanda,2016,No,Rural,Yes,5,20,Female,Child,Single,Secondary education,Informally employed,Never Married,No
6665,Rwanda,2016,No,Rural,No,3,30,Male,Head of Household,Married,Secondary education,Informally employed,Living together,Yes
6666,Rwanda,2016,No,Rural,Yes,5,54,Male,Head of Household,Married,No formal education,Farming and Fishing,Living together,Yes
6667,Rwanda,2016,No,Rural,Yes,5,24,Male,Child,Single,Secondary education,Farming and Fishing,Never Married,No
6668,Rwanda,2016,No,Rural,Yes,3,26,Male,Parent,Single,Primary education,Informally employed,Never Married,No
6669,Rwanda,2016,No,Urban,Yes,5,16,Male,Child,Single,Secondary education,Remittance Dependent,Never Married,No
6670,Rwanda,2016,No,Urban,Yes,2,33,Female,Head of Household,Divorced,No formal education,Informally employed,Seperated,Yes
6671,Rwanda,2016,No,Rural,No,5,95,Male,Head of Household,Married,No formal education,Government Dependent,Living together,Yes
6672,Rwanda,2016,No,Rural,Yes,4,20,Female,Parent,Single,Primary education,Farming and Fishing,Never Married,No
6673,Rwanda,2016,Yes,Rural,Yes,4,51,Male,Head of Household,Married,Primary education,Self employed,Living together,Yes
6674,Rwanda,2016,No,Rural,Yes,6,30,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6675,Rwanda,2016,No,Rural,Yes,5,32,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6676,Rwanda,2016,No,Rural,Yes,3,20,Female,Child,Single,No formal education,Farming and Fishing,Never Married,No
6677,Rwanda,2016,Yes,Rural,Yes,5,31,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6678,Rwanda,2016,No,Rural,Yes,6,30,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6679,Rwanda,2016,No,Urban,Yes,7,17,Male,Child,Single,Secondary education,Remittance Dependent,Never Married,No
6680,Rwanda,2016,No,Rural,Yes,8,35,Male,Head of Household,Married,No formal education,Farming and Fishing,Living together,Yes
6681,Rwanda,2016,No,Rural,Yes,5,33,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6682,Rwanda,2016,No,Urban,Yes,5,17,Male,Child,Single,Secondary education,Informally employed,Never Married,No
6683,Rwanda,2016,No,Rural,Yes,2,30,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6684,Rwanda,2016,No,Rural,Yes,5,47,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
6685,Rwanda,2016,No,Rural,Yes,2,24,Female,Child,Single,Primary education,Remittance Dependent,Never Married,No
6686,Rwanda,2016,No,Rural,Yes,5,63,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6687,Rwanda,2016,No,Rural,No,1,71,Female,Head of Household,Widowed,No formal education,Remittance Dependent,Widowed,Yes
6688,Rwanda,2016,No,Urban,Yes,5,35,Female,Spouse,Married,Primary education,Remittance Dependent,Living together,No
6689,Rwanda,2016,No,Rural,Yes,1,24,Male,Head of Household,Single,Secondary education,Other Income,Never Married,Yes
6690,Rwanda,2016,Yes,Rural,Yes,6,23,Female,Child,Married,Secondary education,Formally employed Private,Living together,No
6691,Rwanda,2016,Yes,Rural,Yes,5,36,Male,Head of Household,Married,Primary education,Other Income,Living together,Yes
6692,Rwanda,2016,No,Rural,Yes,7,40,Male,Head of Household,Married,No formal education,Informally employed,Living together,Yes
6693,Rwanda,2016,No,Rural,Yes,3,60,Female,Head of Household,Widowed,No formal education,Remittance Dependent,Widowed,Yes
6694,Rwanda,2016,No,Rural,Yes,10,27,Female,Child,Single,Primary education,Farming and Fishing,Never Married,No
6695,Rwanda,2016,No,Rural,Yes,5,35,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6696,Rwanda,2016,No,Rural,Yes,3,25,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
6697,Rwanda,2016,No,Rural,Yes,6,19,Female,Child,Single,Primary education,Informally employed,Never Married,No
6698,Rwanda,2016,No,Rural,Yes,4,67,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6699,Rwanda,2016,No,Urban,Yes,2,23,Female,Spouse,Married,Primary education,Informally employed,Living together,No
6700,Rwanda,2016,Yes,Rural,Yes,5,53,Male,Child,Single,Primary education,Farming and Fishing,Never Married,No
6701,Rwanda,2016,No,Rural,Yes,3,47,Female,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6702,Rwanda,2016,Yes,Urban,Yes,6,34,Female,Spouse,Married,Primary education,Self employed,Living together,No
6703,Rwanda,2016,No,Rural,Yes,8,16,Male,Child,Single,Primary education,Informally employed,Never Married,No
6704,Rwanda,2016,No,Rural,Yes,3,35,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
6705,Rwanda,2016,No,Rural,No,4,54,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
6706,Rwanda,2016,No,Urban,Yes,2,39,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
6707,Rwanda,2016,Yes,Rural,Yes,7,60,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6708,Rwanda,2016,No,Rural,Yes,5,32,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6709,Rwanda,2016,No,Rural,Yes,7,18,Male,Parent,Single,Primary education,Informally employed,Never Married,No
6710,Rwanda,2016,No,Rural,Yes,7,16,Female,Child,Single,Secondary education,Remittance Dependent,Never Married,No
6711,Rwanda,2016,No,Urban,Yes,4,29,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6712,Rwanda,2016,No,Rural,Yes,4,30,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6713,Rwanda,2016,No,Urban,Yes,8,43,Female,Spouse,Married,Primary education,Remittance Dependent,Living together,No
6714,Rwanda,2016,No,Rural,Yes,7,38,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6715,Rwanda,2016,No,Rural,Yes,5,37,Female,Other relative,Single,No formal education,Remittance Dependent,Never Married,No
6716,Rwanda,2016,No,Urban,Yes,3,60,Female,Spouse,Married,Primary education,Remittance Dependent,Living together,No
6717,Rwanda,2016,No,Rural,Yes,5,42,Female,Spouse,Married,No formal education,Farming and Fishing,Living together,No
6718,Rwanda,2016,No,Rural,No,6,50,Female,Head of Household,Widowed,No formal education,Informally employed,Widowed,Yes
6719,Rwanda,2016,No,Rural,Yes,13,19,Male,Child,Single,Secondary education,Informally employed,Never Married,No
6720,Rwanda,2016,No,Rural,Yes,7,33,Female,Spouse,Married,No formal education,Informally employed,Living together,No
6721,Rwanda,2016,No,Rural,Yes,2,66,Female,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6722,Rwanda,2016,No,Rural,No,3,34,Female,Head of Household,Divorced,Primary education,Remittance Dependent,Seperated,Yes
6723,Rwanda,2016,No,Rural,Yes,4,32,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
6724,Rwanda,2016,No,Rural,Yes,4,30,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6725,Rwanda,2016,No,Rural,Yes,5,34,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6726,Rwanda,2016,No,Rural,Yes,4,39,Female,Head of Household,Divorced,No formal education,Informally employed,Seperated,Yes
6727,Rwanda,2016,No,Rural,Yes,6,22,Male,Child,Single,Primary education,Informally employed,Never Married,No
6728,Rwanda,2016,No,Rural,Yes,3,19,Male,Child,Single,Primary education,Farming and Fishing,Never Married,No
6729,Rwanda,2016,No,Rural,Yes,9,45,Male,Head of Household,Widowed,Secondary education,Farming and Fishing,Widowed,Yes
6730,Rwanda,2016,No,Rural,Yes,3,20,Male,Other relative,Single,Secondary education,Farming and Fishing,Never Married,No
6731,Rwanda,2016,No,Rural,Yes,3,30,Female,Spouse,Married,No formal education,Farming and Fishing,Living together,No
6732,Rwanda,2016,Yes,Rural,Yes,3,34,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6733,Rwanda,2016,No,Urban,Yes,3,25,Female,Spouse,Married,Primary education,Informally employed,Living together,No
6734,Rwanda,2016,No,Rural,Yes,6,31,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6735,Rwanda,2016,No,Rural,Yes,3,40,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
6736,Rwanda,2016,Yes,Rural,Yes,4,40,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6737,Rwanda,2016,No,Rural,Yes,6,33,Male,Head of Household,Married,No formal education,Informally employed,Living together,Yes
6738,Rwanda,2016,No,Rural,Yes,4,25,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6739,Rwanda,2016,No,Rural,No,4,30,Male,Head of Household,Married,No formal education,Farming and Fishing,Living together,Yes
6740,Rwanda,2016,No,Rural,No,2,72,Female,Head of Household,Married,No formal education,Government Dependent,Living together,Yes
6741,Rwanda,2016,No,Rural,Yes,2,26,Female,Head of Household,Widowed,Secondary education,Remittance Dependent,Widowed,Yes
6742,Rwanda,2016,No,Rural,Yes,4,25,Female,Spouse,Married,No formal education,Farming and Fishing,Living together,No
6743,Rwanda,2016,No,Rural,Yes,2,69,Male,Head of Household,Widowed,Primary education,Farming and Fishing,Widowed,Yes
6744,Rwanda,2016,No,Rural,No,3,41,Female,Head of Household,Widowed,No formal education,Farming and Fishing,Widowed,Yes
6745,Rwanda,2016,No,Rural,Yes,4,30,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
6746,Rwanda,2016,No,Rural,Yes,1,22,Male,Head of Household,Divorced,Primary education,Farming and Fishing,Seperated,Yes
6747,Rwanda,2016,No,Rural,Yes,3,63,Male,Head of Household,Married,Primary education,Informally employed,Living together,Yes
6748,Rwanda,2016,No,Rural,No,6,29,Female,Spouse,Married,No formal education,Informally employed,Living together,No
6749,Rwanda,2016,Yes,Rural,Yes,6,35,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6750,Rwanda,2016,No,Urban,Yes,7,30,Female,Spouse,Married,Primary education,Informally employed,Living together,No
6751,Rwanda,2016,No,Rural,No,6,58,Male,Head of Household,Married,No formal education,Informally employed,Living together,Yes
6752,Rwanda,2016,No,Rural,Yes,4,39,Female,Head of Household,Divorced,Primary education,Informally employed,Seperated,Yes
6753,Rwanda,2016,No,Rural,Yes,5,40,Female,Head of Household,Divorced,Primary education,Informally employed,Seperated,Yes
6754,Rwanda,2016,No,Rural,Yes,6,42,Female,Spouse,Married,Tertiary education,Farming and Fishing,Living together,No
6755,Rwanda,2016,No,Rural,Yes,6,18,Female,Child,Single,Secondary education,Farming and Fishing,Never Married,No
6756,Rwanda,2016,No,Rural,Yes,2,19,Male,Head of Household,Single,Secondary education,Informally employed,Never Married,Yes
6757,Rwanda,2016,No,Rural,No,7,36,Female,Spouse,Married,Primary education,Farming and Fishing,Living together,No
6758,Rwanda,2016,No,Rural,No,5,16,Male,Child,Single,Secondary education,Informally employed,Never Married,No
6759,Rwanda,2016,No,Rural,Yes,7,22,Female,Child,Single,Primary education,Informally employed,Never Married,No
6760,Rwanda,2016,No,Rural,Yes,4,62,Female,Spouse,Married,No formal education,Farming and Fishing,Living together,No
6761,Rwanda,2016,No,Rural,Yes,6,17,Male,Child,Single,Primary education,Informally employed,Never Married,No
6762,Rwanda,2016,No,Rural,Yes,5,21,Female,Child,Single,Secondary education,Farming and Fishing,Never Married,No
6763,Rwanda,2016,No,Rural,Yes,6,37,Male,Head of Household,Married,Primary education,Farming and Fishing,Living together,Yes
6764,Rwanda,2016,No,Rural,No,7,16,Male,Child,Single,Primary education,Farming and Fishing,Never Married,No
6765,Rwanda,2016,No,Rural,Yes,3,22,Female,Spouse,Married,No formal education,Informally employed,Living together,No
6766,Rwanda,2016,No,Rural,Yes,4,23,Female,Child,Single,Primary education,Informally employed,Never Married,No
6767,Rwanda,2016,No,Rural,Yes,8,16,Male,Child,Single,Secondary education,Remittance Dependent,Never Married,No
6768,Rwanda,2016,No,Rural,Yes,8,38,Female,Spouse,Married,Primary education,Informally employed,Living together,No
6769,Rwanda,2016,No,Rural,Yes,5,17,Male,Child,Single,Primary education,Self employed,Never Married,No
6770,Rwanda,2016,No,Rural,Yes,4,47,Male,Head of Household,Married,Secondary education,Farming and Fishing,Living together,Yes
